name;logo;description;country
Alianza Editorial;https://www.tebeosfera.com/T3content/img/T3_entidades/a/l/alianzaeditorial.jpg;Fundada en 1966, es una de las editoriales españolas más prestigiosas, con un catálogo amplio que abarca desde clásicos de la literatura hasta ensayos y obras de divulgación.;España
Andrés Bello;https://es.babelio.com/users/EDIG_Andres-Bello_9631.jpg;Una de las editoriales más antiguas de Chile, con un catálogo enfocado en la literatura chilena y latinoamericana, así como en textos académicos y educativos.;Chile
Debolsillo ;https://www.penguinrandomhousegrupoeditorial.com/wp-content/uploads/2020/12/sellos_DE-BOLSILLO-parrilla.png;Sello de bolsillo de Penguin Random House, especializado en reediciones de clásicos y bestsellers a precios accesibles.;España
Ediciones Cátedra;https://www.catedra.com/imagenes/libros/grande/generica-catedra.jpg;Editorial universitaria con un catálogo centrado en las humanidades, las ciencias sociales y la literatura.;España
Editorial Planeta;https://www.planetadelibros.com.ve/img/sellos_og/logo_PLANETAVEN.jpg;Uno de los mayores grupos editoriales de habla hispana, con un catálogo muy amplio que incluye ficción, no ficción, libros infantiles y juveniles.;España
Emecé Editores;https://www.planetadelibros.com.ar/img/sellos/logo_EMECEARG.png;Editorial argentina con una larga trayectoria, especializada en literatura argentina y latinoamericana, así como en ensayos y libros de arte.;Argentina
Harper Bolsillo;https://www.harpercollinsiberica.com/cdn/shop/files/harpercollins-gris_400x.jpg?v=1637173579;Sello de bolsillo de HarperCollins, con un catálogo similar a Debolsillo, enfocado en reediciones de clásicos y bestsellers.;Internacional
La factoría de ideas;http://roleropedia.com/images/thumb/3/32/Logotipo-La-Factoria-de-Ideas.jpg/300px-Logotipo-La-Factoria-de-Ideas.jpg;Editorial española especializada en literatura juvenil y romántica, con un catálogo dirigido a un público joven.;España
Lectorum;https://www.letrasdeencuentro.es/images/logos/logo-lectorum.jpeg;Editorial española con un catálogo variado que incluye ficción, no ficción, libros infantiles y juveniles, así como libros técnicos y profesionales.;España
Luna;https://www.letrasdeencuentro.es/images/logos/logo-luna-libros.jpeg;Editorial española especializada en literatura romántica y erótica.;España
Penguin Clásicos;https://laslecturasdeguillermo.wordpress.com/wp-content/uploads/2015/05/penguin-clc3a1sicos1.jpg;Sello de Penguin Random House dedicado a la publicación de clásicos de la literatura universal en ediciones cuidadas y asequibles.;Internacional
Plaza & Janés;https://contentv2.tap-commerce.com/file/9464/PLAZA-Y-JANES.jpg;Editorial española con un catálogo amplio que abarca desde la novela histórica hasta la literatura contemporánea.;España
Salamandra;https://www.letrasdeencuentro.es/images/logos/logo-salamandra.jpg;Editorial española especializada en literatura infantil y juvenil, con un catálogo de gran calidad y variedad.;España
Sudamericana;https://todoinfantil.com/img/libros/editorial-sudamericana-rh.png;Una de las editoriales más importantes de Argentina, con un catálogo que abarca todas las áreas de la literatura y el pensamiento.;Argentina
Random House;https://www.randomhousebooks.com/wp-content/uploads/2021/12/Random-House-imprint-logo-with-type-small-274x300.png;Uno de los mayores grupos editoriales del mundo, con un catálogo inmenso que incluye sellos como Penguin, Knopf, Del Rey y muchos otros.;Internacional
