_id;title;author;ID Authors;cover;description;editorial;ID Editorial;price;__v;createdAt;updatedAt
66a98655207851a4a0cd4024;Don Quijote de la Mancha;Miguel de Cervantes;66a988f1fbfb085adb563bc1;https://live.staticflickr.com/7868/47606288691_68b2a43cb8_b.jpg;La obra maestra de Cervantes es una novela sobre un hombre común que se vuelve loco leyendo libros de caballería y decide convertirse en un caballero andante.;Editorial Planeta;66a98ab6116bf4f62cb7e8ab;20.99;0;2024-07-31T00:33:25.180Z;2024-07-31T00:33:25.180Z
66a98655207851a4a0cd4025;Orgullo y prejuicio;Jane Austen;66a988f1fbfb085adb563bba;https://www.altamiralibros.com/imagenes/9788491/978849105132.GIF;Una de las novelas más populares de Austen, 'Orgullo y prejuicio' cuenta la historia de la señorita Elizabeth Bennet y el señor Darcy, y cómo superan sus prejuicios para enamorarse.;Penguin Clásicos;66a98ab6116bf4f62cb7e8b1;29.99;0;2024-07-31T00:33:25.180Z;2024-07-31T00:53:35.334Z
66a98655207851a4a0cd4026;Cien años de soledad;Gabriel García Márquez;66a988f1fbfb085adb563bb3;https://1.bp.blogspot.com/-P8RTMQN-w1I/U1uC4dp27EI/AAAAAAAAkWs/9umUoSL25R4/s1600/CAS+1.jpg;La novela más famosa de García Márquez, 'Cien años de soledad', cuenta la historia de la familia Buendía y su ciudad, Macondo, a lo largo de varias generaciones.;Sudamericana;66a98ab6116bf4f62cb7e8b4;18.5;0;2024-07-31T00:33:25.180Z;2024-07-31T00:33:25.180Z
66a98655207851a4a0cd4027;Matar a un ruiseñor;Harper Lee;66a988f1fbfb085adb563bb5;https://contrapunto.cl/22071/matar-un-ruisenor.jpg;Ganadora del Premio Pulitzer, 'Matar a un ruiseñor' es la historia de la niña Scout Finch y su padre, el abogado Atticus Finch, mientras defienden a un hombre negro acusado de violación en el sur de los Estados Unidos.;Harper Bolsillo;66a98ab6116bf4f62cb7e8ad;11.99;0;2024-07-31T00:33:25.181Z;2024-07-31T00:33:25.181Z
66a98655207851a4a0cd4028;Madame Bovary;Gustave Flaubert;66a988f1fbfb085adb563bb4;https://dialoguemos.ec/wp-content/uploads/2021/12/madame-bovary-471-414x600.jpg;Una de las obras más importantes de la literatura francesa, 'Madame Bovary' cuenta la historia de Emma Bovary, una mujer infeliz y aburrida con su vida matrimonial que busca la felicidad en otras cosas.;Luna;66a98ab6116bf4f62cb7e8b0;13.5;0;2024-07-31T00:33:25.181Z;2024-07-31T00:33:25.181Z
66a98655207851a4a0cd4029;El gran Gatsby;F. Scott Fitzgerald;66a988f1fbfb085adb563bb2;https://www.penguinlibros.com/es/1511309/el-gran-gatsby.jpg;Considerada una obra maestra de la literatura estadounidense, 'El gran Gatsby' es una novela sobre la riqueza, el amor y la obsesión en los años 20 en Nueva York.;Debolsillo ;66a98ab6116bf4f62cb7e8a9;9.95;0;2024-07-31T00:33:25.181Z;2024-07-31T00:33:25.181Z
66a98655207851a4a0cd402a;La Ilada;Homero;66a988f1fbfb085adb563bb8;https://www.catedra.com/imagenes/libros/grande/9788437621975-iliada.jpg;La epopeya griega más famosa, 'La Ilíada' cuenta la historia de la guerra de Troya y la lucha del héroe griego Aquiles.;Ediciones Cátedra;66a98ab6116bf4f62cb7e8aa;20;0;2024-07-31T00:33:25.181Z;2024-07-31T00:33:25.181Z
66a98655207851a4a0cd402b;La Odisea;Homero;66a988f1fbfb085adb563bb8;https://audiolibrosencastellano.com/sites/default/files/l/homero_la-odisea_8437606403.jpg;La otra epopeya griega famosa, 'La Odisea' cuenta la historia del héroe griego Odiseo y su lucha para regresar a casa después de la guerra de Troya.;Ediciones Cátedra;66a98ab6116bf4f62cb7e8aa;20;0;2024-07-31T00:33:25.181Z;2024-07-31T00:33:25.181Z
66a98655207851a4a0cd402c;Los miserables;Victor Hugo;66a988f1fbfb085adb563bc7;https://www.planetadelibros.com.mx/usuaris/libros/fotos/142/m_libros/141294_los-miserables_9788408015796.jpg;'Los miserables' es una novela épica de Hugo que cuenta la historia de Jean Valjean, un exconvicto que lucha por redimirse en la sociedad francesa del siglo XIX.;Editorial Planeta;66a98ab6116bf4f62cb7e8ab;23.99;0;2024-07-31T00:33:25.181Z;2024-07-31T00:33:25.181Z
66a98655207851a4a0cd402d;Anna Karenina;León Tolstói;66a988f1fbfb085adb563bbe;https://www.penguinlibros.com/es/1513936/anna-karenina.jpg;'Anna Karenina' es una obra maestra de la literatura rusa y cuenta la historia de una mujer infelizmente casada que se enamora de un oficial del ejército.;Penguin Clásicos;66a98ab6116bf4f62cb7e8b1;16.95;0;2024-07-31T00:33:25.181Z;2024-07-31T00:33:25.181Z
